dataset,method,roc,iteration
1,knn,0.5017173426022655,0
1,knn,0.4994592451724226,1
1,knn,0.5001824308776646,2
1,knn,0.5019663579654895,3
1,knn,0.5435904890193166,4
1,knn,0.5291172749982949,5
1,knn,0.5359723436921586,6
1,knn,0.4892534552306941,7
2,knn,0.4892526052656772,0
2,knn,0.49984906295716847,1
2,knn,0.5002016125934525,2
2,knn,0.5025922235394519,3
2,knn,0.4935278398299906,4
2,knn,0.49093717474148113,5
2,knn,0.494229147683625,6
2,knn,0.49429546143420566,7
3,knn,0.485915521873488,0
3,knn,0.481336431597177,1
3,knn,0.4773228419963029,2
3,knn,0.49191775810504956,3
3,knn,0.4799616029513719,4
3,knn,0.4758207858905237,5
3,knn,0.47126825052682175,6
3,knn,0.47720469669513854,7
